발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,cluster_4,c
1637646992752,"81 km SW of Acajutla, El Salvador",reviewed,0,469,earthquake,5.5, El Salvador,-90.2559,12.9871,18.0,2021-11-23 05:56:32.752000+00:00,2,2,green
1590510874779,"Kermadec Islands, New Zealand",reviewed,0,298,earthquake,4.4, New Zealand,-177.949,-30.5438,43.75,2020-05-26 16:34:34.779000+00:00,0,3,pink
1578272012209,"119 km S of Koshima, Japan",reviewed,0,340,earthquake,4.7, Japan,130.5473,29.1554,10.0,2020-01-06 00:53:32.209000+00:00,0,0,red
1628802743777,South Sandwich Islands region,reviewed,0,400,earthquake,5.1,South Sandwich Islands region,-25.175,-58.4247,8.92,2021-08-12 21:12:23.777000+00:00,2,2,green
1579700997661,"260 km SW of Merizo Village, Guam",reviewed,0,340,earthquake,4.7, Guam,142.9917,11.5813,10.0,2020-01-22 13:49:57.661000+00:00,0,0,red
1667141106392,"31 km NNW of Kar?mganj, India",reviewed,0,271,earthquake,4.2, India,92.205,25.1215,10.0,2022-10-30 14:45:06.392000+00:00,0,0,red
1628578484071,"63 km NNW of Bahía de Caráquez, Ecuador",reviewed,0,284,earthquake,4.3, Ecuador,-80.6131,-0.0538,11.49,2021-08-10 06:54:44.071000+00:00,0,0,red
1690145526480,Arizona,reviewed,0,786,earthquake,3.8,Arizona,-112.4326,34.7508,5.0,2023-07-23 20:52:06.480000+00:00,2,2,green
1608607641031,"149 km S of Dampit, Indonesia",reviewed,0,259,earthquake,4.1, Indonesia,112.5698,-9.5505,35.0,2020-12-22 03:27:21.031000+00:00,0,3,pink
1618695944171,"98 km SSE of Adak, Alaska",reviewed,0,222,earthquake,3.8, Alaska,-175.965,51.0898,10.0,2021-04-17 21:45:44.171000+00:00,1,1,blue
1579330752590,"2 km WNW of Tallaboa, Puerto Rico",reviewed,0,261,earthquake,4.01, Puerto Rico,-66.7378,18.0,5.0,2020-01-18 06:59:12.590000+00:00,0,0,red
1664327904523,"53 km E of Mulegé, Mexico",reviewed,0,451,earthquake,5.4, Mexico,-111.4476,26.9509,10.0,2022-09-28 01:18:24.523000+00:00,2,2,green
1677954056760,"Andreanof Islands, Aleutian Islands, Alaska",reviewed,0,168,earthquake,3.3, Aleutian Islands,-176.5667,51.0152,35.0,2023-03-04 18:20:56.760000+00:00,1,1,blue
1658238201628,West Chile Rise,reviewed,0,369,earthquake,4.9,West Chile Rise,-86.9263,-41.4488,10.0,2022-07-19 13:43:21.628000+00:00,2,2,green
1622386587097,"63 km NW of Yonakuni, Japan",reviewed,0,312,earthquake,4.5, Japan,122.5849,24.8971,7.85,2021-05-30 14:56:27.097000+00:00,0,0,red
1669799783049,"Java, Indonesia",reviewed,0,246,earthquake,4.0, Indonesia,107.1168,-8.3202,45.589,2022-11-30 09:16:23.049000+00:00,0,3,pink
1599106715000,Iceland region,reviewed,0,284,earthquake,4.3,Iceland region,-19.1251,68.0156,10.0,2020-09-03 04:18:35+00:00,0,0,red
1672214868265,off the coast of Washington,reviewed,0,234,earthquake,3.9,off the coast of Washington,-128.9233,47.8402,12.086,2022-12-28 08:07:48.265000+00:00,1,0,red
1605442572905,"136 km SSE of Sand Point, Alaska",reviewed,0,158,earthquake,3.2, Alaska,-159.6483,54.2088,25.71,2020-11-15 12:16:12.905000+00:00,1,1,blue
1671894780398,"107 km SSE of Sand Point, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-159.7381,54.4724,20.113,2022-12-24 15:13:00.398000+00:00,1,1,blue
1673841096117,"172 km ENE of Lospalos, Timor Leste",reviewed,0,284,earthquake,4.3, Timor Leste,128.4394,-7.9049,63.352,2023-01-16 03:51:36.117000+00:00,0,3,pink
1640434004948,"Pulau Pulau Tanimbar, Indonesia",reviewed,0,326,earthquake,4.6, Indonesia,130.2753,-7.6252,32.94,2021-12-25 12:06:44.948000+00:00,0,3,pink
1663331589373,"201 km N of Qalans?yah, Yemen",reviewed,0,354,earthquake,4.8, Yemen,53.6239,14.5098,10.0,2022-09-16 12:33:09.373000+00:00,0,0,red
1618307687749,South Sandwich Islands region,reviewed,0,354,earthquake,4.8,South Sandwich Islands region,-24.4262,-57.7149,10.0,2021-04-13 09:54:47.749000+00:00,0,0,red
1620811955510,"288 km SE of Attu Station, Alaska",reviewed,0,354,earthquake,4.8, Alaska,176.5874,51.319,10.0,2021-05-12 09:32:35.510000+00:00,0,0,red
1658516381499,south of Alaska,reviewed,0,199,earthquake,3.6,south of Alaska,-155.1449,53.8577,17.916,2022-07-22 18:59:41.499000+00:00,1,1,blue
1621890918761,"160 km NNW of Turbat, Pakistan",reviewed,0,284,earthquake,4.3, Pakistan,62.7334,27.4192,10.0,2021-05-24 21:15:18.761000+00:00,0,0,red
1672151603390,"14 km S of Fern Forest, Hawaii",reviewed,0,182,earthquake,3.34, Hawaii,-155.112,19.3361666666667,7.09,2022-12-27 14:33:23.390000+00:00,1,1,blue
1653807632416,"74 km ENE of Namie, Japan",reviewed,0,298,earthquake,4.4, Japan,141.817,37.6575,58.56,2022-05-29 07:00:32.416000+00:00,0,3,pink
1625313487060,southeast Indian Ridge,reviewed,0,518,earthquake,5.8,southeast Indian Ridge,92.1043,-43.4115,10.0,2021-07-03 11:58:07.060000+00:00,2,2,green
1587846881216,"43 km SW of Iquique, Chile",reviewed,0,200,earthquake,3.6, Chile,-70.4459,-20.4873,27.28,2020-04-25 20:34:41.216000+00:00,1,1,blue
1601690221638,"76 km ENE of Kokopo, Papua New Guinea",reviewed,0,298,earthquake,4.4, Papua New Guinea,152.9384,-4.1828,45.9,2020-10-03 01:57:01.638000+00:00,0,3,pink
1658072666540,"13km SE of Bodfish, CA",reviewed,0,257,earthquake,3.8,California,-118.3865,35.5126667,4.66,2022-07-17 15:44:26.540000+00:00,1,0,red
1663213236298,"51 km NNE of Kon Tum, Vietnam",reviewed,0,298,earthquake,4.4, Vietnam,108.24,14.7609,10.226,2022-09-15 03:40:36.298000+00:00,0,0,red
1585588508557,"70 km W of Sardinal, Costa Rica",reviewed,0,326,earthquake,4.6, Costa Rica,-86.2886,10.431,10.0,2020-03-30 17:15:08.557000+00:00,0,0,red
1666485548102,"22 km W of Tumaco, Colombia",reviewed,0,284,earthquake,4.3, Colombia,-78.9969,1.8089,47.031,2022-10-23 00:39:08.102000+00:00,0,3,pink
1681525054567,southern East Pacific Rise,reviewed,0,340,earthquake,4.7,southern East Pacific Rise,-107.885,-34.9787,10.0,2023-04-15 02:17:34.567000+00:00,0,0,red
1631610878122,"49 km SSW of Labuan, Indonesia",reviewed,0,259,earthquake,4.1, Indonesia,105.7018,-6.8028,56.55,2021-09-14 09:14:38.122000+00:00,0,3,pink
1612841968724,"51 km ESE of Koshima, Japan",reviewed,0,385,earthquake,5.0, Japan,131.0214,30.052,35.0,2021-02-09 03:39:28.724000+00:00,2,2,green
1633634259981,"138 km ESE of Tadine, New Caledonia",reviewed,0,354,earthquake,4.8, New Caledonia,169.1902,-21.8233,10.0,2021-10-07 19:17:39.981000+00:00,0,0,red
1610169752502,"36 km E of Nikolski, Alaska",reviewed,0,284,earthquake,4.3, Alaska,-168.3163,52.9302,47.29,2021-01-09 05:22:32.502000+00:00,0,3,pink
1586692629689,east of Severnaya Zemlya,reviewed,0,284,earthquake,4.3,east of Severnaya Zemlya,123.8382,78.9442,10.0,2020-04-12 11:57:09.689000+00:00,0,0,red
1586224335511,"11 km NNW of Coyuquilla Norte, Mexico",reviewed,0,358,earthquake,4.8, Mexico,-101.0968,17.4725,10.0,2020-04-07 01:52:15.511000+00:00,0,0,red
1647604855903,"Kermadec Islands, New Zealand",reviewed,0,354,earthquake,4.8, New Zealand,-177.6339,-30.0378,25.78,2022-03-18 12:00:55.903000+00:00,0,0,red
1599966282114,"53 km SSE of Nek?, Iran",reviewed,0,312,earthquake,4.5, Iran,53.528,36.2066,10.0,2020-09-13 03:04:42.114000+00:00,0,0,red
1686984777094,"251 km SSW of ‘Ohonua, Tonga",reviewed,0,284,earthquake,4.3, Tonga,-175.7837,-23.4787,18.351,2023-06-17 06:52:57.094000+00:00,0,0,red
1656927153341,"212 km SE of Port Blair, India",reviewed,0,340,earthquake,4.7, India,94.1744,10.3642,10.0,2022-07-04 09:32:33.341000+00:00,0,0,red
1626097709406,"Izu Islands, Japan region",reviewed,0,340,earthquake,4.7, Japan region,141.8193,32.0222,10.0,2021-07-12 13:48:29.406000+00:00,0,0,red
1627623655618,"158 km SSE of Chignik, Alaska",reviewed,0,222,earthquake,3.8, Alaska,-157.086,55.0768,34.9,2021-07-30 05:40:55.618000+00:00,1,3,pink
1673839043263,"194 km SW of Nikolski, Alaska",reviewed,0,158,earthquake,3.2, Alaska,-170.538,51.529,10.0,2023-01-16 03:17:23.263000+00:00,1,1,blue
1675709394341,"17 km WNW of Musabeyli, Turkey",reviewed,0,259,earthquake,4.1, Turkey,36.7256,36.9291,10.0,2023-02-06 18:49:54.341000+00:00,0,0,red
1587946377380,"90 km NW of San Antonio, Puerto Rico",reviewed,0,182,earthquake,3.44, Puerto Rico,-67.7073,19.0665,53.0,2020-04-27 00:12:57.380000+00:00,1,3,pink
1687864961653,"45 km NNE of Rabaul, Papua New Guinea",reviewed,0,340,earthquake,4.7, Papua New Guinea,152.3045,-3.8145,10.0,2023-06-27 11:22:41.653000+00:00,0,0,red
1604751339064,"188 km WSW of Adak, Alaska",reviewed,0,340,earthquake,4.7, Alaska,-179.084,51.1358,31.31,2020-11-07 12:15:39.064000+00:00,0,3,pink
1598530035628,"26 km E of North Vanlaiphai, India",reviewed,0,436,earthquake,5.3, India,93.3258,23.1636,10.0,2020-08-27 12:07:15.628000+00:00,2,2,green
1628943291603,"137 km SE of Perryville, Alaska",reviewed,0,199,earthquake,3.6, Alaska,-157.435,55.1527,6.4,2021-08-14 12:14:51.603000+00:00,1,1,blue
